id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,churn,tenure,price_off_peak_var,price_peak_var,price_mid_peak_var,price_off_peak_fix,price_peak_fix,price_mid_peak_fix
24011ae,channel_sales_1,0,54946,0,2013-06-15,2016-06-15,2015-11-01,2015-06-23,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,true,0.0,25.44,25.44,2,678.99,3,code_1,43.648,churn,3,0.12478708333333333,0.10074933333333334,0.06653041666666666,40.942265479999996,22.352010309999997,14.901340339999999
d29c2c5,not_specified,4660,0,0,2009-08-21,2016-08-30,2009-08-21,2015-08-31,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,false,0.0,16.38,16.38,1,18.89,6,code_2,13.8,retention,7,0.14960891666666667,0.007123583333333333,0.0,44.31137526,0.0,0.0
764c75f,channel_sales_1,544,0,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,false,0.0,28.6,28.6,1,6.6,6,code_2,13.856,retention,6,0.17051166666666664,0.08842125,0.0,44.38545035999999,0.0,0.0
bba0343,channel_sales_2,1584,0,0,2010-03-30,2016-03-30,2010-03-30,2015-03-31,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,false,0.0,30.22,30.22,1,25.46,6,code_2,13.2,retention,6,0.15121008333333333,0.0,0.0,44.40026526,0.0,0.0
149d57c,not_specified,4425,0,526,2010-01-13,2016-03-07,2010-01-13,2015-03-09,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,false,52.32,44.91,44.91,1,47.98,6,code_2,19.8,retention,6,0.12417433333333333,0.10363816666666666,0.07286525,40.68815609999999,24.4128927,16.2752634
1aa4988,channel_sales_3,8302,0,1998,2011-12-09,2016-12-09,2015-11-01,2015-12-10,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,false,181.21,33.12,33.12,1,118.89,4,code_1,13.2,churn,5,0.16895291666666667,0.08763249999999993,0.0,44.26693046,0.0,0.0
7ab4bf4,channel_sales_1,45097,0,0,2011-12-02,2016-12-02,2011-12-02,2015-12-03,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,false,0.0,4.04,4.04,1,346.63,4,code_1,15.0,churn,5,0.1660606666666666,0.08474424999999995,0.0,44.26692996,0.0,0.0
01495c9,channel_sales_1,29552,0,1260,2010-04-21,2016-04-21,2010-04-21,2015-04-22,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,false,70.63,53.92,53.92,1,100.09,6,code_1,26.4,retention,6,0.12281558333333333,0.10250124999999997,0.07353616666666667,40.6745798,24.404746919999997,16.26983288
f53a254,channel_sales_3,2962,0,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,false,0.0,12.82,12.82,1,42.59,4,code_2,13.2,retention,5,0.14968158333333334,0.0,0.0,44.31137536,0.0,0.0
10c1b2f,channel_sales_2,26064,0,2188,2010-05-04,2016-05-04,2015-04-29,2015-05-05,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,false,219.59,33.42,33.42,1,329.6,6,code_1,31.5,retention,6,0.12337916666666666,0.10295191666666666,0.07378566666666667,40.728885,24.437330039999996,16.29155496
d5e512d,channel_sales_3,10831,0,3112,2011-07-11,2016-07-11,2011-07-11,2015-07-12,1204.58,3112,0.0,20.94,0.1646369999999999,0.087381,44.31137796,false,349.48,14.52,14.52,1,108.5,5,code_2,11.5,retention,5,0.16754041666666666,0.08574508333333332,0.0,44.34100546,0.0,0.0
6ee77a0,channel_sales_1,4442,0,2489,2009-11-26,2016-11-26,2009-11-26,2015-11-27,561.96,2489,0.0,20.5,0.1670859999999999,0.088444,46.30537836,false,308.41,21.09,21.09,1,18.41,6,code_2,10.392,retention,7,0.16926066666666664,0.08768666666666668,0.0,44.537302159999996,0.0,0.0
2c05848,channel_sales_1,46121,1542867,5280,2011-09-01,2016-10-30,2013-10-30,2015-11-01,4502.43,5280,0.0,145.81,0.1152369999999999,0.100123,40.606701,true,523.68,5.52,5.52,2,533.46,4,code_1,16.5,retention,5,0.123776,0.10038183333333334,0.0657345,40.90153658,22.327572970000002,14.885048779999998
21860c2,channel_sales_1,7726,0,0,2013-01-22,2017-01-22,2015-11-18,2016-01-24,914.1,0,0.0,74.66,0.162327,0.084428,44.31137796,false,0.0,33.12,33.12,1,89.02,3,code_3,13.2,retention,4,0.16917733333333332,0.08763966666666662,0.0,44.31137526,0.0,0.0
c503738,not_specified,9707,0,0,2010-12-01,2016-12-01,2010-12-01,2015-12-02,1028.52,0,0.0,15.37,0.168242,0.089602,45.30837756,false,0.0,15.78,15.78,1,111.59,5,code_2,13.856,retention,6,0.1660606666666666,0.08474424999999995,0.0,44.26693026,0.0,0.0
e4773b6,channel_sales_2,47019,0,3161,2012-04-20,2016-04-20,2012-04-20,2015-04-21,1687.29,1080,0.0,16.08,0.144902,0.0,44.31137796,false,158.53,19.28,19.28,1,130.14,4,code_3,10.392,retention,4,0.14904449999999997,0.0,0.0,44.38545035999999,0.0,0.0
bd14bba,not_specified,786536,80583,85883,2010-02-15,2016-02-15,2010-02-15,2015-02-16,13517.5,23298,0.0,16.6,0.1640579999999999,0.086163,44.31137796,true,2585.38,25.68,25.68,2,1087.76,6,code_1,11.4,retention,6,0.16801133333333332,0.08641891666666662,0.0,44.26693026,0.0,0.0
4e4a34a,channel_sales_1,30776,0,0,2011-08-01,2016-07-25,2014-07-25,2015-07-27,3045.16,0,0.0,118.24,0.1128599999999999,0.096521,40.606701,false,0.0,19.29,19.29,1,335.78,5,not_specified,25.0,retention,5,0.12036708333333333,0.10012291666666667,0.070822,40.6474275,24.38845514,16.25897136
f2b9378,not_specified,24838,0,2877,2011-05-27,2016-05-27,2011-05-27,2015-05-31,1088.35,798,0.0,141.79,0.115174,0.098837,40.606701,false,79.36,21.57,21.57,1,117.44,5,code_3,15.001,retention,5,0.12278558333333334,0.10239583333333331,0.07328333333333333,40.6610035,24.39660114,16.26440236
47e976c,channel_sales_1,15411,0,0,2012-05-28,2016-05-28,2012-05-28,2015-05-31,194.42,0,0.0,18.31,0.1457109999999999,0.0,44.31137796,false,0.0,23.97,23.97,1,19.07,4,code_1,13.0,retention,4,0.14991325,0.0,0.0,44.370635359999994,0.0,0.0
db6ac41,channel_sales_1,16782,0,1908,2009-10-01,2016-10-01,2009-10-01,2015-10-03,1686.67,1908,0.0,131.77,0.1152369999999999,0.100123,40.606701,true,189.79,6.6,6.6,2,203.35,6,code_2,19.8,retention,7,0.12397108333333334,0.10377791666666665,0.07359316666666667,40.5931235,24.35587114,16.237247359999998
bee0c7e,channel_sales_1,26987,0,4099,2011-03-04,2016-03-04,2011-03-04,2015-03-09,2761.95,4099,0.0,129.95,0.1186359999999999,0.10175,40.606701,false,413.68,47.35,47.35,1,316.53,5,code_1,35.0,retention,5,0.1264915833333333,0.10595441666666666,0.0751825,40.68815609999999,24.4128927,16.2752634
7801463,channel_sales_3,20560,0,3804,2012-12-31,2016-12-31,2015-11-01,2016-01-01,3037.82,3804,0.0,0.0,0.142417,0.0,44.31137796,false,548.89,4.14,4.14,1,255.96,3,code_1,11.0,retention,4,0.14752908333333334,0.007123583333333333,0.0,44.29656026,0.0,0.0
5789c44,channel_sales_1,12157,0,0,2013-02-27,2016-02-27,2015-12-16,2015-03-09,1418.81,0,0.0,16.42,0.160302,0.082403,44.31137796,false,0.0,23.4,23.4,2,123.87,3,code_2,10.392,retention,3,0.16642283333333333,0.08463633333333333,0.0,44.37063526,0.0,0.0
ed5bc49,not_specified,13122,0,0,2009-12-07,2016-12-07,2015-11-01,2015-12-08,1932.42,0,0.0,19.51,0.143478,0.0,44.31137796,false,0.0,3.56,3.56,1,150.7,6,code_2,13.2,retention,7,0.14711616666666666,0.0,0.0,44.29656036,0.0,0.0
389bbbe,channel_sales_1,3584,0,322,2010-11-17,2016-11-17,2010-11-17,2015-11-18,379.83,322,0.0,145.98,0.1152369999999999,0.100123,41.1052014,false,32.61,57.72,57.72,1,38.76,5,code_1,23.1,churn,6,0.12406833333333334,0.10373441666666666,0.07352883333333333,40.6212142,24.389391840000002,16.27348306
31615be,not_specified,2632,0,0,2010-07-12,2016-07-12,2010-07-12,2015-07-14,394.83,0,0.0,15.98,0.1457109999999999,0.0,44.31137796,false,0.0,14.64,14.64,1,38.62,6,code_3,10.392,retention,6,0.14979741666666666,0.0,0.0,44.34100536,0.0,0.0
