channel_sales,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_peak,has_gas,imp_cons,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,price_mid_peak_fix,churn
0,0,54946,0.0,0.0,1.78,0.098142,1,0.0,25.44,2,678.99,3,0,43.648,14.901340339999999,churn
7,4660,0,189.95,0.0,16.27,0.0,0,0.0,16.38,1,18.89,6,1,13.8,0.0,retention
0,544,0,47.96,0.0,38.72,0.087899,0,0.0,28.6,1,6.6,6,1,13.856,0.0,retention
1,1584,0,240.04,0.0,19.83,0.0,0,0.0,30.22,1,25.46,6,1,13.2,0.0,retention
7,4425,0,445.75,0.0,131.73,0.1000149999999999,0,52.32,44.91,1,47.98,6,1,19.8,16.2752634,retention
2,8302,0,796.94,0.0,30.12,0.086131,0,181.21,33.12,1,118.89,4,0,13.2,0.0,churn
0,45097,0,8069.28,0.0,0.0,0.087538,0,0.0,4.04,1,346.63,4,0,15.0,0.0,churn
0,29552,0,864.73,0.0,144.49,0.098837,0,70.63,53.92,1,100.09,6,0,26.4,16.26983288,retention
2,2962,0,444.38,0.0,15.85,0.0,0,0.0,12.82,1,42.59,4,1,13.2,0.0,retention
1,26064,0,2738.1,0.0,130.43,0.099419,0,219.59,33.42,1,329.6,6,0,31.5,16.29155496,retention
2,10831,0,1204.58,0.0,20.94,0.087381,0,349.48,14.52,1,108.5,5,1,11.5,0.0,retention
0,4442,0,561.96,0.0,20.5,0.088444,0,308.41,21.09,1,18.41,6,1,10.392,0.0,retention
0,46121,1542867,4502.43,0.0,145.81,0.100123,1,523.68,5.52,2,533.46,4,0,16.5,14.885048779999998,retention
0,7726,0,914.1,0.0,74.66,0.084428,0,0.0,33.12,1,89.02,3,2,13.2,0.0,retention
7,9707,0,1028.52,0.0,15.37,0.089602,0,0.0,15.78,1,111.59,5,1,13.856,0.0,retention
1,47019,0,1687.29,0.0,16.08,0.0,0,158.53,19.28,1,130.14,4,2,10.392,0.0,retention
7,786536,80583,13517.5,0.0,16.6,0.086163,1,2585.38,25.68,2,1087.76,6,0,11.4,0.0,retention
0,30776,0,3045.16,0.0,118.24,0.096521,0,0.0,19.29,1,335.78,5,5,25.0,16.25897136,retention
7,24838,0,1088.35,0.0,141.79,0.098837,0,79.36,21.57,1,117.44,5,2,15.001,16.26440236,retention
0,15411,0,194.42,0.0,18.31,0.0,0,0.0,23.97,1,19.07,4,0,13.0,0.0,retention
0,16782,0,1686.67,0.0,131.77,0.100123,1,189.79,6.6,2,203.35,6,1,19.8,16.237247359999998,retention
0,26987,0,2761.95,0.0,129.95,0.10175,0,413.68,47.35,1,316.53,5,0,35.0,16.2752634,retention
2,20560,0,3037.82,0.0,0.0,0.0,0,548.89,4.14,1,255.96,3,0,11.0,0.0,retention
